question_id,unit,question_text,marks
Q001,Unit I, Illustrate data communications system with a diagram . ,6
Q002,Unit I, Identify the TCP/IP layer which is responsible for the following and explain the functionalities of the same layer in detail. i) Determining the best path to route packets ii) Providing end -to-end communications with reliable service iii) Bit Transmission.,10
Q003,Unit I,The diagram given below shows the number of hosts connected in a network with IP address and Ethernet address. i) Suppose host A wants to send a packet to the host D. Reason out on what is the destination Ethernet address of the Ethernet frame sent by host A to host D. ii) Reason out on what will be destination Ethernet address of the Ethernet frame sent by host A to host B.,4
Q004,Unit II,Given the dataword 1010011110 and the divisor 10111. i) Show the generation of the codeword at the sender side.,10
Q005,Unit II," Given the dataword 1010011110 and the divisor 10111.  ii) At the receiver end, if the dataword has an error in the 5th bit position counting from the right i.e. dataword is transmitted as 1010001110, show the CRC calculation at the receiver end for the received message. b) One important issue in networking is the performance of the network i.e. how good it is. Discuss the various characteristics used to measure the overall network performance.",10
Q006,Unit II,Calculate CRC for a frame 1101011011 using the generator polynomial g(x) = x4 + x + 1. i) Show the transmitted message at the sender. ii) Show the CRC calculation at the receiver for the above received message with no errors.,10
Q007,Unit II,With a neat diagram ilustrate the working of a Stop -and-Wait protocol for reliable transmission,10
Q008,Unit III,An organization is granted a block 201.19.160.0/24 . The administrator wants to create 16 subnets wi th same number of addresses. i) What is the subnet mask for the above address? ii) What is the range of the addresses in first and last subnet? iii) Is the subnet mask 255.255.0.255 valid for a Class A address? Explain. iv) Consider two addresses 172.202.2.19 and 192.202.3.29. Are they on the same network? Justify . erentiate between malloc() and calloc() functions with suitable examples. ,10
Q009,Unit III,"Answer the following questions with respect to Border Gateway Protocol. Use the diagram given below. i) Why do we need to advertise routes in Border Gateway Protocol? Justify your answer. 10 ii) Detail out on the different route advertisements carried out by BGP in the above diagram. iii) If we need to perform route advertisements from one side of the Internet Service Provider to the other side of the Internet Service Provider, what should we do? Validate.",10
Q010,Unit III," The figure below shows a graphical representation of a network containing 6 nodes (P, Q, R, S, T and U) and 10 links. Using dijkstra's Algorithm, find out the shortest distance from node P to all other nodes. If the link T -U goes down, which is the shortest route from P to U?",10
Q011,Unit III, Explain the factors influencing the need to adopt IPv6 and rep lace IPv4.,5
Q012,Unit III,Network address of a Class -C network is 192.168.100.0. Calculate network addresses and broadcast addresses for all the subnets if there are 13 subnets and 10 hosts per subnet. Also mention the default subnet mask and subnet mask after subnetting .,5
Q013,Unit IV,"""TCP is suitable as the transport layer protocol for real-time multimedia applications""ù. Is this statement True or False? Justify .",10
Q014,Unit IV, Illustrate the working of connection establishment and connection termination in TCP with a neat diagram .,10
Q015,Unit V,"""Network security is complex and fascinating""ù. Validate the statement with proper reasoning. ",5
Q016,Unit V," Assume the global parameters p= 7, q = 13 in RSA Algorithm. Let e = 5 find d, public key and private key. Assume plaintext m = 6 , apply encryption and decryption using public and private keys. ",10
Q017,Unit V," Using Vigenere cipher generate cipher for the message ""BMS COLLEGE OF ENGINEERING""ù with a shift key as 1234.",5
